Input_Text,True_Label,Predicted_Label,Aspect,Review
it [SEP] It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.,0,0,it,It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.
someone [SEP] It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.,0,0,someone,It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.
the corner [SEP] It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.,0,0,the corner,It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.
some [SEP] It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.,0,0,some,It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.
the seam [SEP] It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.,0,0,the seam,It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.
the thread [SEP] It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.,0,0,the thread,It looked as though someone had torn open the corner to use some.  The seam along the thread was soiled.
"i [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,i,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"a href=""http://www.amazon.com/gp/product/b0016mhl6w"">wonka laffy taffy stretchy [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,2,"a href=""http://www.amazon.com/gp/product/b0016mhl6w"">wonka laffy taffy stretchy","I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"tangy variety box [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,tangy variety box,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
"24-count [SEP] I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted.",1,0,24-count,"I recently bought <a href=""http://www.amazon.com/gp/product/B0016MHL6W"">Wonka Laffy Taffy Stretchy & Tangy Variety Box, 24-Count, 1.5-Ounce Boxes</a> from Sam's Club and LOVED it. I love the cherry the most, so when I saw this item--ALL CHERRY!--I was excited. The picture on the container didn't say Stretchy & Tangy but the Product Features did...so I thought I was set. Except it's not the Stretchy & Tangy variety...it's just the plain cherry which tastes completely different and was NOT what I was expecting. I'm keeping it since I still like the taffy (and so does my husband) but it's not what I wanted."
