Review,True,Predicted,Predicted_Label
crystal light normaly good one much product container clumpy take product called mix decent drink,1,1,Neutral
happy ok happy several reasonsbr br recently trail mix dark chocolate soy nut since like snack trail mix wanted make purchased order thatbr br care way tasted taste like dark chocolate use taste like fake carob chocolatebr br like cluster individual chocolate covered soy nut disappointed cluster dont work trail mix purchased thesebr br wont buying,1,0,Negative
drastically overpriced item product drastically overpriced since contains natural flavor cerainly imported china probably msg fit human consumption since impossible rate zero ive forced give one star,2,1,Neutral
cheaper sam club bj cereal best ive tried far taste right sweet included dried fruit plus cost box sam club,0,0,Negative
shipment received older bean well first time used bean french press coffee tasted great however started developing taste coffee noticed particular variety strong smokey flavor may like flavorbr br also found bean exhibit much bloom brewing press think much age bean,1,1,Neutral
badhas ups down bad taste version grape like bitter lowclass red wine tart unpleasant waybr br come oz can two serving per since carbonated either drink whole extended period save hope doesnt go flat share drink fairly quickly like normal soda get lot caffeine sugar pretty short time drink like come smaller cansbr br good perk right pointbr br doesnt give jitter like drink tend drank full two serving didnt make heart palpitate anythingbr br drink several cup coffee day occasionally drink energy drink like well despite caffeine intake caffeinated soda like diet coke still keep night notably drink keep,0,2,Positive
bad like bone including spine mixed fish like product sure wish would show whats inside label sure made look better suprises found opened really looked like put whole fish grinder straight,0,0,Negative
rating meh many year since tried mallomars wife child never beforethis seemed like good time introduce childhood favorite minebr br box boasted picture dark chocolate inside different story mallomars looked dried since chocolate light brown color marshmallow centered cookie cant speak every box mallomars batch seemed pretty averagebr br pls see picture uploaded customer image section referencebr br u different reaction upon tasting found marshmallow lot chewier childhood recollection liked chocolate spouse thought cookie dry chocolate without flavor child went right marshmallow separating cookie eating cookie lastbr br overall okay bad earthshatteringly good hopefully next batch tastier,0,2,Positive
cariboukcups coffee good price thought goodstill like donut coffee better would reccommend good coffee,2,0,Negative
vertebra thanks contains giant spine bone worth time take sift make edible,0,1,Neutral
expected like instead yucky owie love coffee coffee drink starbucks customer year dont think starbucks good serious espresso bar dont nearby excited starbucks announced via tried flavor soon could get hand surprised find taste harsh acidic gave stomachachebr br confirming several time wasnt imagining stomachache stopped buying via luckily relative introduced taster choice colombian instant coffee bettertasting opinion doesnt bother stomach bonus one third cost viabr br rather mixing instant coffee water add cup hot milk stir bit sugar,1,2,Positive
selenium brazil nut way get selinium rare essential mineral next close thing kidney liver offer brazil nut high cholesterol need prepared consumption brazil nut high fat calorie seven piece one whole avocado consume super food four day food brazil nut priced reasonably quality varies packaging,1,1,Neutral
r km e ta l oplease hormel chunck white turkey water ounce pack look tasty type turkeyfor like white meat turkey nothing chaque un son gout taste french say however dark meat turkey also dark meat chicken lover country probably country definitely given shortshrift food industry today dark meat taste betterat least yes dark meat calorie calorie cut many many way giving dark meat turkey chicken one please food industry exec give u dark meat lover chance make product dark meat supermarket buy dozen honeysuckle white ground dark meat turkey touch light ground meat flavour white meatbr br thanks reading hope help legion dark meat turkey chicken lover also raise profit food company hopefully cater forgotten clientele one,2,2,Positive
limited taste good munchy give satisfaction crunch fresh apple much better,2,2,Positive
fair selected product tolerate caffeine full bodied coffee however disappointed product taste like flavored water real coffee taste used stronger setting keirig help bit tasty however hot chocolate blend,2,2,Positive
bad good consistently chew gum eating freshen breath especially lunch break work town tried virtually every sugarless gum market settled orbit peppermint best available long lasting flavor fresh breath well nonstickiness read onbr br trident vitality good effort ginseng awake version delivered appreciate attempting add pizazz gum hard shell gum similar eclipse problem thusbr br flavor short unexcitingbr really freshen breath stick orbit suck altoid work betterbr packaging little ease removing gum pull foil packet cardboard pop piece plus cardboard packing like reclosebr gum rather sticky permanent retainer like stick problem dont dental workbr little benefit small amount ginseng gum marketing anythingbr whole pack unless cut piece foil take orbit individually wrapped piecesbr br nearly bad sugarless gum skip one go orbit stride,0,0,Negative
poor taste dark chocolate bar taste terrible good nutritional profile akin eating cardboard ive box pantry month eat one necessity ton water wash go gone world foreverbr br think thin bar great concept love idea behind flavor truly disaster,1,2,Positive
treat sold costco treat sold costco bought treat costco made dog sick different brand sure write review correct product sold online small pet store,2,2,Positive
taste good maple syrup taste really good sweet use cooking pancake good deali buy againi like supporting u family company,1,1,Neutral
first decaf ive ever could tell decaf whenever try cut caffeine struggledusually would order cafe americano type thing watered decaffinated espressotastes like regular cup coffee oi price could never find something drinkable could brew myselfbr br friend bought peets birthday shopped buy excellent coffee decided give decaf try amazing really could tell drinking something decafand regular coffeenot espresso anything else tried different flavor peets coffee consistently fabulousincluding decaf reason dont care much sumatra husband assures imagination love itbr br case highly recommend peets coffee particularly decaf like french roastbr br always caution buyer amazon look see vendor amazon directly product stay vendor may vary includes actually keep stock amazon shelf great shipping also examine pricing structure carefully due diligence regarding specific vendor including rating price shipping policiesbr br said decaf peets coffee amazingbr br jtg,2,2,Positive
pgtips tea favorite british friend comment simply delicious kind tea itbr course mention pgtips brit agree tea use thanks amazon great deal,1,2,Positive
sort moldy taste ive bought one roll store first taste ok really weird aftertaste describe tasting moldy bought wintergreen version well definitely odd aftertaste,2,2,Positive
ok u ive giving month old week theyre ok havent choking incident suck spread goo everywhere thats tale teething cooky texture reminds dog biscuit dense taste lot like graham cracker bought barley sounded healthier rice weve enjoyed jar earth best baby food last long time box still half full like mum mum rice rusk better ill buying future,0,1,Neutral
delicious oatmeal square delicious chewy taste chocolate chip every bite first got hooked due costco unfortunately costco around house stop selling lucky found square amazon bought box november best date square june look like shelf life monthsbr br square calorie fat calorie gram sodium mg total carb gram sugar gram protein gramsbr br update br well appears corazonas changed made oatmeal square square subscribe save list amazon last two monthly shipment noticed change less sweet less chewy thickerairy dry still think square good continue subscribe save list prefer old recipebr br update back old recipe hopefully bad batch,2,2,Positive
coffe lover gift basket told person received gift basket nice upset came without card didnt know came thank noted receipt included card message,2,2,Positive
tasty healthy found snack tasty healthy satisfying microwaved delicious also convenient snacking go,1,2,Positive
